"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-04-21,"Hampden","Massachusetts","25013",2533,244,95,735
2020-04-21,"Hampshire","Massachusetts","25015",337,10,5,104
2020-04-21,"Middlesex","Massachusetts","25017",9621,428,368,3367
2020-04-21,"Norfolk","Massachusetts","25021",4062,290,102,1093
2020-04-21,"Plymouth","Massachusetts","25023",3043,141,67,836
2020-04-21,"Suffolk","Massachusetts","25025",8669,285,355,2797
2020-04-21,"Worcester","Massachusetts","25027",3341,133,162,1095
2020-04-22,"Barnstable","Massachusetts","25001",678,27,6,148
2020-04-22,"Berkshire","Massachusetts","25003",404,31,0,34
2020-04-22,"Bristol","Massachusetts","25005",1908,104,56,400
2020-04-22,"Essex","Massachusetts","25009",5783,271,262,1889
2020-04-22,"Franklin","Massachusetts","25011",196,30,4,36
2020-04-22,"Hampden","Massachusetts","25013",2678,271,145,793
2020-04-22,"Hampshire","Massachusetts","25015",345,14,8,106
2020-04-22,"Middlesex","Massachusetts","25017",10094,494,473,3413
2020-04-22,"Norfolk","Massachusetts","25021",4212,312,150,1090
2020-04-22,"Plymouth","Massachusetts","25023",3253,157,210,945
